100,2.994,62.2755,0,0,60,29.6407,0,0,0,0,0,0,0,20,10,53,0,60,0
0,100,0,0,38.3234,0,0,0,0,0,60,60,75.1497,0,0,0,35.6287,0,70,7.1856
0,0,100,29.3413,0,0,65.5689,0,0,0,0,12.2754,0,0,0,0,60,0,0,0
20,0,0,100,0,2.3952,0,0,0.5988,30,7.485,0,0,0,73.9521,0,0,0,0,0
70,0,0,0,100,10,0,20,0,0,0,0,0,60,16.4671,0,0,10,0,0
0,91.6168,0,0,0,100,0,2.0958,4.7904,30,0,74.8503,0,10,0,30,10,0,0,0
0,23.9521,0,10,0,89.521,100,30,0,0,0,0,30,30,0,0,0,0,90,84.7305
0,40.4192,0,0,0,0,0,100,0,0,60,58,60,0,80,0,0,90,20,5.6886
70,20,55,0,70,0,20,0,100,40,0,0,0,0,60,0,17.0659,0,0,0
80,80,20,0,0,0,53,70,0,100,52,0,0,0,30,0,70,0,59.8802,0
30,0,42.515,0,70,10,0,0,0,0,100,0,90,0,0,0,0,0,60,24.2515
0,0,0,8.982,30,0,71.8563,0,23.3533,30,0,100,48,10,0,0,0,0,0,80
55,0,10,0,60,61,0,0,60,71.5569,0,0,100,0,0,0,0,0,0,0
70,0,36.2275,0,0,0,0,4.7904,33.8323,70,60,0,10,100,0,58.3832,0,48,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,40,100,55.988,43,90,0,60
0,0,1.497,40,0,0,0,0,0,7.485,0,19.1617,0,0,0,100,10,0,13.7725,10
0,0,0,0,25.7485,0,0,10,0,0,60,80,40,0,0,0,100,0,0,60
40,23.3533,0,4.491,0,0,0,0,0.497,40,5.6886,0,9.2814,0,0,40,0,100,0,7.485
0,0,7.1856,60,10,30,0,0,0,0,0,40,70,0,0,0,60,0,100,90
0,0,60,0,30,15.5689,0,0,0,82.3353,0,0,70,10,0,0,0,0,0,100
